tm;season;avg_pts;avg_trb;avg_ast;total_games;distinct_players;season_year
ANA;1968;435.02.00;207.09.00;64.85;781;20;1968
AND;1950;349.3125;;77.05.00;621;16;1950
ATL;1969;701.7692307692307;353.7692307692308;159.15384615384616;727;13;1969
ATL;1970;742.00.00;323.84615384615387;164.76923076923077;748;13;1970
ATL;1971;779.00.00;372.6666666666667;158.83333333333334;742;12;1971
ATL;1972;528.3529411764706;240.00.00;111.58823529411765;767;17;1972
ATL;1973;658.05.00;298.14285714285717;148.14285714285714;721;14;1973
ATL;1974;742.25.00;329.3333333333333;166.08333333333334;818;12;1974
ATL;1975;663.0769230769231;314.9230769230769;144.46153846153845;785;13;1975
ATL;1976;647.00.00;289.61538461538464;128.15384615384616;804;13;1976
ATL;1977;524.625;234.75;117.625;791;16;1977
ATL;1978;654.3076923076923;270.6923076923077;146.23076923076923;825;13;1978
ATL;1979;688.4615384615385;286.3076923076923;149.07692307692307;844;13;1979
ATL;1980;571.5333333333333;251.66666666666666;127.53333333333333;858;15;1980
ATL;1981;573.06.00;228.33333333333334;123.06666666666666;815;15;1981
ATL;1982;517.5625;218.9375;113.4375;819;16;1982
ATL;1983;490.29411764705884;210.11764705882354;114.41176470588235;841;17;1983
ATL;1984;489.47058823529414;196.7058823529412;107.47058823529412;874;17;1984
ATL;1985;485.72222222222223;194.77777777777777;111.61111111111111;835;18;1985
ATL;1986;556.625;228.375;126.5625;877;16;1986
ATL;1987;601.06.00;255.02.00;138.46666666666667;871;15;1987
ATL;1988;589.06.00;240.46666666666667;137.46666666666667;865;15;1988
ATL;1989;700.1538461538462;283.6923076923077;153.07692307692307;848;13;1989
ATL;1990;494.05.00;192.22222222222223;101.11111111111111;840;18;1990
ATL;1991;643.0714285714286;261.07142857142856;133.14285714285714;839;14;1991
ATL;1992;580.7333333333333;252.04.00;141.53333333333333;819;15;1992
ATL;1993;518.4705882352941;213.76470588235293;122.58823529411765;837;17;1993
ATL;1994;554.5333333333333;244.86666666666667;137.06666666666666;824;15;1994
ATL;1995;440.05555555555554;187.55555555555554;97.61111111111111;825;18;1995
ATL;1996;447.72222222222223;185.00.00;89.38888888888889;774;18;1996
ATL;1997;457.29411764705884;198.2941176470588;91.58823529411765;781;17;1997
ATL;1998;491.25.00;220.1875;98.0625;787;16;1998
ATL;1999;308.2142857142857;155.35714285714286;55.857142857142854;513;14;1999
ATL;2000;552.05.00;265.42857142857144;110.57142857142857;818;14;2000
ATL;2001;324.30434782608694;152.95652173913044;67.78260869565217;850;23;2001
ATL;2002;428.3888888888889;188.88888888888889;92.00.00;810;18;2002
ATL;2003;367.3333333333333;166.42857142857142;79.95238095238095;827;21;2003
ATL;2004;330.9130434782609;152.30434782608697;71.65217391304348;791;23;2004
ATL;2005;380.25.00;171.75;80.07.00;864;20;2005
ATL;2006;531.4666666666667;220.06666666666666;108.33333333333333;798;15;2006
ATL;2007;404.2105263157895;173.05263157894737;82.78947368421052;845;19;2007
ATL;2008;503.375;216.375;112.75;828;16;2008
ATL;2009;536.04.00;218.08.00;110.46666666666667;820;15;2009
ATL;2010;595.5714285714286;244.28571428571428;127.78571428571429;868;14;2010
ATL;2011;458.2352941176471;189.52941176470588;106.00.00;842;17;2011
ATL;2012;398.4375;169.875;92.5625;706;16;2012
ATL;2013;446.22222222222223;186.16666666666666;111.05.00;852;18;2013
ATL;2014;460.1111111111111;182.11111111111111;113.38888888888889;834;18;2014
ATL;2015;525.5625;207.875;131.9375;868;16;2015
ATL;2016;496.05882352941177;203.00.00;123.52941176470588;902;17;2016
ATL;2017;422.95;181.75;96.09.00;879;20;2017
ATL;2018;385.22727272727275;156.1818181818182;88.45454545454545;898;22;2018
ATL;2019;422.45454545454544;171.8181818181818;96.27272727272727;925;22;2019
ATL;2020;356.57142857142856;138.00.00;76.42857142857143;733;21;2020
ATL;2021;454.77777777777777;182.05.00;96.05.00;771;18;2021
ATL;2022;389.2916666666667;150.25.00;84.04166666666667;884;24;2022
ATL;2023;485.55.00;181.95;102.45.00;865;20;2023
ATL;2024;510.6842105263158;192.78947368421052;114.73684210526316;799;19;2024
ATL;2025;436.01.00;164.06.00;109.15.00;725;20;2025
BAL;1964;559.25.00;305.75;89.125;751;16;1964
BAL;1965;649.0714285714286;333.14285714285717;119.71428571428571;757;14;1965
BAL;1966;591.5625;305.05.00;118.125;773;16;1966
BAL;1967;668.0714285714286;339.2142857142857;118.00.00;759;14;1967
BAL;1968;740.5384615384615;373.3076923076923;118.00.00;751;13;1968
BAL;1969;734.00.00;381.7692307692308;129.3846153846154;748;13;1969
BAL;1970;707.1428571428571;334.2142857142857;134.35714285714286;745;14;1970
BAL;1971;661.00.00;325.00.00;126.57142857142857;779;14;1971
BAL;1972;549.00.00;259.9375;113.05.00;772;16;1972
BAL;1973;614.7142857142857;300.35714285714283;146.05.00;731;14;1973
BKN;1978;485.8888888888889;216.72222222222223;104.38888888888889;762;18;1978
BKN;1979;630.8571428571429;257.92857142857144;136.21428571428572;816;14;1979
BKN;1980;554.9375;235.25.00;130.875;789;16;1980
BKN;1981;626.2857142857143;247.57142857142858;147.71428571428572;788;14;1981
BKN;1982;546.625;219.625;131.00.00;846;16;1982
BKN;1983;510.11764705882354;217.23529411764707;126.05882352941177;865;17;1983
BKN;1984;644.2142857142857;252.42857142857142;153.42857142857142;861;14;1984
BKN;1985;527.9411764705883;209.2941176470588;127.23529411764706;790;17;1985
BKN;1986;596.06.00;244.04.00;141.86666666666667;805;15;1986
BKN;1987;523.1176470588235;210.47058823529412;117.11764705882354;840;17;1987
BKN;1988;411.75;166.85;89.75;801;20;1988
BKN;1989;567.0666666666667;241.53333333333333;119.53333333333333;849;15;1989
BKN;1990;432.00.00;194.05263157894737;77.63157894736842;829;19;1990
