player_id;player;total_triple_doubles;total_double_doubles
3166;Vince Carter;26;26
3171;Andre Miller;25;25
3761;Jeff Green;25;25
3563;Trevor Ariza;25;26
2187;Kevin Willis;24;26
3946;Ish Smith;24;25
1757;James Edwards;23;25
2461;Rod Strickland;23;23
2874;Juwan Howard;23;23
3327;Joe Johnson;23;23
2722;Jim Jackson;23;24
3685;Kyle Lowry;23;23
2274;Tyrone Corbin;23;24
3461;Kyle Korver;23;23
3143;Nazr Mohammed;23;27
3805;D.j. Augustin;23;24
3816;George Hill;23;23
2870;Jason Kidd;23;23
3048;Chauncey Billups;23;23
2979;Derek Fisher;22;22
3745;Corey Brewer;22;22
4055;Tobias Harris;22;22
3462;Lebron James;22;22
3817;Goran Dragić;22;23
3704;Rajon Rondo;22;22
2936;Kevin Garnett;22;23
3791;Thaddeus Young;22;23
2932;Joe Smith;22;23
3517;Devin Harris;21;21
2196;Otis Thorpe;21;21
2959;Theo Ratliff;21;22
3116;Dirk Nowitzki;21;21
3982;Alec Burks;21;21
3037;Anthony Johnson;21;21
3093;Tim Thomas;21;21
3341;Pau Gasol;21;21
2373;Mark Jackson;21;21
2661;Kenny Anderson;21;21
1723;Robert Parish;21;21
2751;Shaquille O'neal;21;21
3619;Lou Williams;21;21
3205;Metta World Peace;21;21
3258;Jamal Crawford;21;21
3004;Marcus Camby;21;21
2406;Avery Johnson;21;22
4044;Markieff Morris;21;23
3713;Rudy Gay;21;21
3000;Kobe Bryant;20;20
1605;Moses Malone;20;22
2822;Sam Cassell;20;22
1495;Caldwell Jones;20;20
2648;Dikembe Mutombo;20;20
3016;Ray Allen;20;20
2993;Jermaine O'neal;20;20
1424;Bob Mcadoo;20;20
3881;James Johnson;20;20
1993;Eddie Johnson;20;20
1204;Kareem Abdul-jabbar;20;20
3779;Mike Conley;20;20
2090;Ricky Pierce;20;20
3435;Carmelo Anthony;20;21
3585;Chris Paul;20;20
3218;Shawn Marion;20;20
1353;Dave Robisch;20;21
3076;Kevin Ollie;20;20
3380;Drew Gooden;20;23
3132;Larry Hughes;20;20
3880;James Harden;20;20
2492;Clifford Robinson;20;20
2755;Tom Gugliotta;20;20
3823;Javale Mcgee;20;22
4050;Reggie Jackson;20;20
3810;Deandre Jordan;20;21
3785;Ramon Sessions;19;19
3484;Steve Blake;19;19
3407;Mike Dunleavy;19;19
2948;Michael Finley;19;19
3276;Mike Miller;19;19
2474;Vernon Maxwell;19;19
3674;J.j. Redick;19;19
3770;Kevin Durant;19;19
2585;Gary Payton;19;19
3500;Andre Iguodala;19;19
3194;Jason Terry;19;19
3362;Zach Randolph;19;19
3101;Al Harrington;19;20
2252;Karl Malone;19;19
3290;Stephen Jackson;19;20
2183;John Stockton;19;19
3560;Shaun Livingston;19;19
3807;Danilo Gallinari;19;19
2098;Terry Cummings;19;20
2930;Jerry Stackhouse;19;19
3092;Tim Duncan;19;19
3146;Paul Pierce;19;19
2867;Jalen Rose;19;19
3345;Richard Jefferson;19;19
2112;Dale Ellis;19;21
1988;Danny Schayes;19;22
4102;Justin Holiday;19;19
3877;Garrett Temple;19;20
3669;Ersan İlyasova;19;20
3359;Tyson Chandler;19;21
4157;Dennis Schröder;19;19
752;Walt Bellamy;19;19
2583;Elden Campbell;19;20
3849;Russell Westbrook;19;19
2853;Donyell Marshall;19;21
3425;Tayshaun Prince;19;19
1338;Artis Gilmore;19;19
3393;John Salmons;19;19
2781;Chris Webber;19;19
4064;Andre Drummond;19;19
2204;Sam Perkins;19;19
3830;Kevin Love;19;19
3815;Eric Gordon;19;19
2937;Kurt Thomas;19;20
2176;Hakeem Olajuwon;18;18
2967;Allen Iverson;18;20
2136;Mark West;18;20
2386;Reggie Miller;18;18
3812;Derrick Rose;18;19
1407;Tom Owens;18;19
3905;Taj Gibson;18;19
3370;Caron Butler;18;18
2117;Derek Harper;18;18
2747;Robert Horry;18;18
4320;Delon Wright;18;18
2150;Sedale Threatt;18;18
3686;Lamarcus Aldridge;18;18
2249;Joe Kleine;18;18
860;Tom Van Arsdale;18;18
3316;Gerald Wallace;18;18
3841;Nicolas Batum;18;18
2863;Grant Hill;18;18
3028;Steve Nash;18;18
2230;Charles Oakley;18;18
2315;Johnny Newman;18;18
3898;Patty Mills;18;18
757;Bill Bridges;18;19
3530;Jameer Nelson;18;19
2971;Ben Wallace;18;18
3918;Avery Bradley;18;18
3410;Nenê;18;18
2642;Chris Gatling;18;19
3804;Courtney Lee;18;18
4023;Jimmy Butler;18;18
1141;Ron Boone;18;19
3431;Boris Diaw;18;18
691;Johnny Green;18;18
2568;Bimbo Coles;18;18
1243;Billy Paultz;18;19
4177;Kelly Olynyk;18;18
4091;Jae Crowder;18;19
1602;Maurice Lucas;18;18
3355;Tony Parker;18;18
2001;Herb Williams;18;20
3614;José Calderón;18;18
3140;Mike Bibby;18;18
2236;Detlef Schrempf;18;18
2950;Rasheed Wallace;18;18
1787;Tree Rollins;18;18
1950;Mike Gminski;18;20
1692;Adrian Dantley;18;19
2382;Olden Polynice;18;18
2855;Eddie Jones;18;18
4043;Marcus Morris;18;19
2218;A.c. Green;18;18
3445;Dwyane Wade;18;18
3734;Al Horford;18;18
828;John Tresvant;18;19
3106;Brad Miller;18;18
3417;Reggie Evans;17;17
3002;Malik Rose;17;17
2630;Tyrone Hill;17;17
3475;Mo Williams;17;17
3470;Matt Barnes;17;18
3506;Beno Udrih;17;18
3582;C.j. Miles;17;17
3323;Jason Richardson;17;17
1836;Ron Brewer;17;18
3173;Baron Davis;17;17
2829;Toni Kukoč;17;17
2017;Kurt Rambis;17;17
2706;Christian Laettner;17;17
4183;Mike Muscala;17;18
3701;Paul Millsap;17;18
3186;Elton Brand;17;17
3902;Serge Ibaka;17;18
2712;Doug Christie;17;19
2273;Terry Porter;17;17
2394;Scottie Pippen;17;17
1981;Buck Williams;17;17
3104;Antawn Jamison;17;18
3520;Dwight Howard;17;18
3252;Hedo Türkoğlu;17;17
2096;Sleepy Floyd;17;17
3305;Carlos Arroyo;17;17
2644;Dale Davis;17;18
3913;Wayne Ellington;17;17
2058;Dominique Wilkins;17;17
2264;Patrick Ewing;17;17
2707;Clarence Weatherspoon;17;17
1822;Maurice Cheeks;17;17
2335;Ron Harper;17;17
4197;Robert Covington;17;17
3920;Blake Griffin;17;17
2684;Stacey Augmon;17;17
2410;Brian Shaw;17;17
1744;Brad Davis;17;17
3698;P.j. Tucker;17;18
3527;J.r. Smith;17;17
3026;Stephon Marbury;17;17
3926;Demarcus Cousins;17;17
4100;Jonas Valančiūnas;17;17
1693;Alex English;17;17
4069;Austin Rivers;17;17
3914;Wesley Matthews;17;17
2598;Kendall Gill;17;17
2688;Steve Smith;17;17
2222;Benoit Benjamin;17;18
3151;Rashard Lewis;17;18
3539;Kris Humphries;17;18
2911;Damon Stoudamire;17;17
3117;Earl Boykins;17;17
3798;Anthony Tolliver;17;18
2551;Tim Hardaway;17;17
2896;Antonio Mcdyess;17;17
3624;Marvin Williams;17;17
2180;Jerome Kersey;17;17
3583;Channing Frye;17;17
3241;Deshawn Stevenson;17;17
1788;Walter Davis;17;17
1864;Gerald Henderson;17;19
2159;Antoine Carr;17;18
2110;Clyde Drexler;17;17
1902;Bill Laimbeer;16;16
4037;Kyrie Irving;16;16
3634;Raymond Felton;16;16
1244;Bob Lanier;16;16
834;Paul Silas;16;16
2124;Jeff Malone;16;16
4047;Nikola Vučević;16;16
2825;Shawn Bradley;16;16
3535;Josh Smith;16;16
3493;Zaza Pachulia;16;16
2726;Jon Barry;16;16
1965;Rory Sparrow;16;16
2428;Grant Long;16;17
2513;J.r. Reid;16;16
2832;Aaron Mckie;16;17
809;Nate Thurmond;16;16
3801;Brook Lopez;16;17
1447;George Gervin;16;16
2556;Vlade Divac;16;16
2232;Chris Mullin;16;16
3309;Desagana Diop;16;16
3463;Leandro Barbosa;16;16
2162;Charles Barkley;16;16
2696;Alonzo Mourning;16;17
2572;Cedric Ceballos;16;17
3401;Manu Ginóbili;16;16
2299;Dell Curry;16;16
4317;D'angelo Russell;16;16
2077;Lasalle Thompson;16;17
1987;Danny Ainge;16;16
3164;Tyronn Lue;16;17
2865;Howard Eisley;16;17
3537;Kevin Martin;16;16
3992;Cory Joseph;16;16
4142;Alex Len;16;18
3543;Luol Deng;16;16
3147;Peja Stojaković;16;16
2349;Chris Dudley;16;17
742;Johnny Egan;16;17
2344;Armen Gilliam;16;17
2806;Lindsey Hunter;16;17
1381;Julius Erving;16;16
2900;Brent Barry;16;16
1776;Rickey Green;16;16
790;Wayne Hightower;16;16
4124;Patrick Beverley;16;16
1813;John Long;16;16
1101;Elvin Hayes;16;16
2768;Antonio Davis;16;17
2417;Danny Manning;16;17
3248;Eduardo Nájera;16;16
2908;Corliss Williamson;16;16
3891;Jrue Holiday;16;16
3339;Mike James;16;18
2361;Horace Grant;16;16
4311;Cameron Payne;16;16
2783;Corie Blount;16;17
1052;Stew Johnson;16;19
