player_id;player;avg_pts;avg_trb;avg_ast;seasons_played;primary_team
2218;A.c. Green;718.2222222222222;562.7222222222222;81.61111111111111;16;LAL
3168;A.j. Bramlett;8.00;22.00;0.00;1;CLE
2560;A.j. English;751.00.00;157.05.00;160.00.00;2;WSB
5025;A.j. Green;297.3333333333333;86.33333333333333;49.666666666666664;3;MIL
3228;A.j. Guyton;147.33333333333334;26.666666666666668;49.00.00;3;CHI
4374;A.j. Hammons;48.00.00;36.00.00;4.00;1;DAL
5026;A.j. Lawson;79.02.00;29.08.00;8.00;3;DAL
3857;A.j. Price;184.00.00;45.44444444444444;68.11111111111111;6;IND
2561;A.j. Wynder;12.00;3.00;8.00;1;BOS
1237;A.w. Holt;4.00;4.00;0.00;1;CHI
3731;Aaron Brooks;494.625;86.0625;156.5625;10;HOU
4219;Aaron Gordon;788.6923076923077;363.84615384615387;159.6153846153846;11;ORL
3732;Aaron Gray;112.27272727272727;127.9090909090909;22.818181818181817;7;CHI
4301;Aaron Harrison;26.333333333333332;14.00;5.333333333333333;3;CHO
4899;Aaron Henry;2.00;1.00;0.00;1;PHI
4582;Aaron Holiday;361.6666666666667;91.44444444444444;115.55555555555556;7;IND
4462;Aaron Jackson;8.00;3.00;1.00;1;HOU
1548;Aaron James;765.08.00;294.00.00;74.00.00;5;NOJ
2832;Aaron Mckie;390.3529411764706;178.76470588235293;144.8235294117647;13;POR
3566;Aaron Miles;16.00;14.00;24.00.00;1;GSW
4805;Aaron Nesmith;497.02.00;183.06.00;60.02.00;5;BOS
2833;Aaron Swinson;24.00.00;8.00;3.00;1;PHO
4900;Aaron Wiggins;564.00.00;209.05.00;88.25.00;4;OKC
2760;Aaron Williams;230.09.00;158.07.00;26.25.00;14;UTA
4463;Abdel Nader;185.02.00;75.02.00;22.00;5;BOS
1845;Abdul Jeelani;645.00.00;250.00.00;80.00.00;2;POR
2761;Acie Earl;194.66666666666666;102.16666666666667;13.05;4;BOS
3733;Acie Law;117.00.00;30.555555555555557;46.55555555555556;4;ATL
5109;Adam Flagler;23.05;9.05;6.00;2;OKC
3365;Adam Harrington;20.00;5.333333333333333;8.00;1;TOT
2694;Adam Keefe;345.22222222222223;284.00.00;47.44444444444444;9;ATL
